city,type,squareMeters,rooms,floor,floorCount,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,building_age,nearset_poi_distance,poi_sum_distance,rooms_per_m2
szczecin,tenement,72.44,3.0,3.0,4.0,53.4308373,14.5419351,1.51,75.0,0.261,0.582,0.132,0.166,0.043,0.19,0.075,False,False,False,False,True,690000,94.0,0.043,1.259,0.041413583655438985
szczecin,blockOfFlats,69.07,3.0,4.0,5.0,53.4433,14.5457,2.43,16.0,0.371,0.535,0.221,0.248,0.13,0.815,0.169,False,True,False,False,True,599000,45.0,0.13,1.674,0.043434197191255255
szczecin,tenement,43.68,2.0,2.0,3.0,53.4438433,14.5055732,4.32,9.0,0.467,0.179,0.226,0.28,0.274,1.677,0.249,True,False,False,False,True,365000,89.0,0.179,1.6750000000000003,0.045787545787545784
szczecin,tenement,81.04,4.0,3.0,4.0,53.450223,14.5150004,4.26,1.0,0.469,1.062,1.005,0.665,0.527,1.366,0.667,False,True,False,False,True,799000,84.0,0.469,4.3950000000000005,0.04935834155972359
szczecin,blockOfFlats,26.0,2.0,3.0,4.0,53.4223727,14.5195649,2.75,5.0,0.144,0.753,0.916,0.847,0.678,0.846,0.207,False,False,False,False,True,349000,54.0,0.144,3.545,0.07692307692307693
szczecin,apartmentBuilding,38.5,2.0,3.0,2.0,53.4795911,14.541813,6.38,2.0,1.487,2.835,1.149,0.718,0.454,3.069,0.253,False,False,False,False,False,455000,12.0,0.253,6.896,0.05194805194805195
szczecin,unknown,48.5,2.0,8.0,12.0,53.3748735,14.6565847,8.32,11.0,0.13,0.381,0.574,0.208,0.393,1.9955151515151517,0.397,True,True,True,False,True,515000,37.0,0.13,2.083,0.041237113402061855
szczecin,apartmentBuilding,31.0,2.0,3.0,4.0,53.3932827,14.4832796,6.14,0.0,1.884,3.478,0.855,1.809,0.791,4.356,0.838,False,True,True,False,False,439000,1.0,0.791,9.655,0.06451612903225806
szczecin,blockOfFlats,71.24,3.0,4.0,5.0,53.45152145,14.53832738,3.47,9.0,0.291,0.492,0.546,0.14,0.091,1.141,0.167,False,True,False,False,True,619000,30.0,0.091,1.7269999999999999,0.042111173498034817
szczecin,unknown,77.0,3.0,4.0,4.0,53.4314573,14.5412976,1.58,75.0,0.199,0.628,0.213,0.173,0.019,0.271,0.04,False,True,False,False,False,569000,30.0,0.019,1.272,0.03896103896103896
szczecin,unknown,63.4,3.0,4.0,4.0,53.3658827,14.6513321,8.76,6.0,0.347,0.75,0.276,0.489,0.027,0.614,0.28,False,True,False,False,False,545000,45.0,0.027,2.169,0.04731861198738171
szczecin,blockOfFlats,73.77,4.0,3.0,4.0,53.4545327,14.5426496,3.67,9.0,0.415,0.636,0.391,0.143,0.371,1.571,0.342,False,True,False,False,True,599000,34.0,0.143,2.298,0.054222583706113596
szczecin,apartmentBuilding,59.84,3.0,3.0,1.0,53.474167,14.537222,5.86,1.0,0.888,2.189,0.795,0.494,0.598,3.013,0.662,True,True,False,False,False,989000,0.0,0.494,5.6259999999999994,0.05013368983957219
szczecin,blockOfFlats,45.0,2.0,3.0,1.0,53.3656,14.5927,6.76,5.0,0.282,3.248,0.107,0.227,0.514,1.4644,0.411,True,False,False,False,True,399000,64.0,0.107,4.789,0.044444444444444446
szczecin,unknown,65.2,3.0,1.0,10.0,53.4542271,14.5541972,3.46,11.0,0.465,0.601,0.438,0.38,0.091,1.861,0.292,False,True,True,False,False,690000,40.0,0.091,2.267,0.046012269938650305
szczecin,apartmentBuilding,48.15,3.0,3.0,4.0,53.4246294,14.4876311,4.86,10.0,0.307,0.347,0.209,0.393,0.36,2.962,0.21,True,True,True,False,True,637000,13.0,0.209,1.8259999999999996,0.06230529595015576
szczecin,blockOfFlats,42.0,2.0,8.0,10.0,53.4546599,14.486451,6.04,10.0,0.216,1.897,0.654,0.178,0.802,3.24,0.12,True,True,True,False,True,449000,44.0,0.12,3.867,0.047619047619047616
szczecin,blockOfFlats,52.92,2.0,4.0,4.0,53.4240801,14.48198032,5.23,3.0,0.513,0.715,0.301,0.771,0.289,3.322,0.083,False,True,False,False,True,449000,37.0,0.083,2.672,0.03779289493575208
szczecin,unknown,45.34,2.0,2.0,28.0,53.4291943,14.5532619,0.82,68.0,0.212,0.344,0.345,0.177,0.078,0.557,0.051,False,False,True,False,False,750000,2.0,0.051,1.2069999999999999,0.044111160123511246
szczecin,blockOfFlats,47.88,2.0,2.0,4.0,53.4041118,14.5235129,3.28,10.0,0.286,0.613,0.508,0.113,0.192,1.829,0.146,False,False,False,False,True,399000,55.0,0.113,1.8579999999999999,0.04177109440267335
szczecin,tenement,53.55,2.0,1.0,3.0,53.425594,14.540169,1.4,37.0,0.204,0.55,0.315,0.5,0.142,0.478,0.208,False,False,False,False,True,437000,114.0,0.142,1.9189999999999998,0.03734827264239029
szczecin,blockOfFlats,41.73,2.0,4.0,4.0,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,True,True,True,False,False,579000,1.0,0.067,4.428,0.04792715073088905
szczecin,unknown,38.1,2.0,8.0,10.0,53.4108479,14.52585167,2.71,13.0,0.257,0.386,0.408,0.105,0.152,1.069,0.262,False,False,True,False,True,435000,51.0,0.105,1.5699999999999998,0.05249343832020997
szczecin,blockOfFlats,36.71,2.0,6.0,10.0,53.4281122,14.5531989,0.73,59.0,0.296,0.296,0.246,0.199,0.018,0.577,0.084,True,True,True,False,True,459000,54.0,0.018,1.139,0.05448106782892945
szczecin,unknown,47.55,3.0,7.0,10.0,53.4368668,14.5530096,1.59,35.0,0.194,0.237,0.181,0.165,0.099,0.781,0.231,False,False,False,False,False,495000,55.0,0.099,1.107,0.06309148264984228
